graph_name,scope,graph_type,mesoregion_slug,mesoregion_label,nodes,edges,bc_mean,bc_median,bc_max,n_pairs,pearson_r,pearson_p,spearman_r,spearman_p,significant_005
physical_boundaries,state,physical_boundaries,all,Minas Gerais (state),853,2424,0.012052,0.003089,0.178243,853,-0.014002,0.683012,0.170658,0.000001,True
highways,state,highways,all,Minas Gerais (state),853,1724,0.014844,0.004689,0.183629,853,-0.014955,0.662718,0.179189,0.000000,True
