grafo,n_vertices,n_arestas,assortatividade_pearson,pearson_p_valor,spearman_r,spearman_p_valor,interpretacao
IBGE (fronteiras físicas),853,2424,0.027948,0.143667,0.062524,0.002072,PRATICAMENTE NEUTRO: sem padrão claro de agrupamento espacial.
Geofabrik (rodovias),853,1724,0.038031,0.103157,0.083816,0.000494,PRATICAMENTE NEUTRO: sem padrão claro de agrupamento espacial.
